alias,normalform,typ
Rushdi Bey al-Sham'a,Rushdi Bey al-Sham'a,Person
Shafiq Bey Mu'ayyad,Shafiq Bey Mu'ayyad,Person
Muhammadan Union,Muhammadan Union,Organisation
Gegenputsch,Gegenputsch,Konzept
tütkifizierung,tütkifizierung,Konzept
bürokratie,bürokratie,Konzept
türken,türken,Konzept
Arab Renaissance Society (jamHyyat al-nahda aWArabiyya),Arab Renaissance Society (jamHyyat al-nahda aWArabiyya),Organisation
Shaykh Tahir al-Jaza'iri,Shaykh Tahir al-Jaza'iri,Person
'Abd al-Rahman Shahbandar,'Abd al-Rahman Shahbandar,Person
Rafiq al azm:,Rafiq al azm:,Person
Kurd 'Ali,Kurd 'Ali,Person
al-Qabas,al-Qabas,Organisation
Ottoman Party of Administrative Decentralization (Hizb al-lamarkaziyya al-idariyya aWUihmani),Ottoman Party of Administrative Decentralization (Hizb al-lamarkaziyya al-idariyya aWUihmani),Organisation
'Abd al-Hamid al-Zahrawi,'Abd al-Hamid al-Zahrawi,Person
liberale union,liberale union,Organisation
Muhammad Fawzi al-'Azm,Muhammad Fawzi al-'Azm,Person
'Abd al-Rahman al-Yusuf,'Abd al-Rahman al-Yusuf,Person
Ahmad al-Sham'a,Ahmad al-Sham'a,Person
Nasib al-Hamza,Nasib al-Hamza,Person
Sami Mardam-Beg,Sami Mardam-Beg,Person
liberaler partei,liberaler partei,Organisation
Unionisten,Unionisten,Konzept
Liberale,Liberale,Konzept
Young Arab Society (jamHyyat al-umma al-Arabiyya al-fatat,Young Arab Society (jamHyyat al-umma al-Arabiyya al-fatat,Organisation
Jamil Mardam-Beg,Jamil Mardam-Beg,Person
Nasib and Fawzi al-Bakri,Nasib and Fawzi al-Bakri,Person
Fakhri al-Barudi,Fakhri al-Barudi,Person
Muhibb al-Din al-Khatib,Muhibb al-Din al-Khatib,Person
Ottoman Party of Administrative Decentralization,Ottoman Party of Administrative Decentralization,Organisation
Fatat,Fatat,Organisation
Arab nationalism,Arab nationalism,Konzept
Islamic State,Islamic State,Konzept
Arabists,Arabists,Konzept
Union and Progress organization,Union and Progress organization,Organisation
bureaucracy,bureaucracy,Konzept
Mustafa Bey,Mustafa Bey,Person
Shaykh Zafir,Shaykh Zafir,Person
Abdülhamid,Abdülhamid,Person
European imperialism,European imperialism,Konzept
Tahir al-Jaza’iri’,Tahir al-Jaza’iri’,Person
Shukri al-‘Asali,Shukri al-‘Asali,Person
